Soil_Moisture,LDR,Leaf_Temp,Ambient_Temp,VOC_Level,Leaf_V,Classes
72.84,798.83,24.55,28.74,129.15,0.591,0
67.51,714.95,34.01,27.36,696.5,1.157,2
19.6,864.75,36.5,29.36,297.54,0.739,1
41.23,790.18,39.53,37.34,435.46,1.465,3
77.16,951.42,28.61,28.14,93.56,0.423,0
47.21,756.56,39.59,35.64,415.81,1.192,3
20.89,858.66,36.3,29.11,258.77,0.956,1
74.28,726.7,28.73,29.07,142.26,0.573,0
27.84,737.44,36.51,34.7,121.04,0.844,1
47.79,655.57,34.22,33.73,310.15,1.294,3
13.84,803.11,38.17,28.73,273.5,0.62,1
21.78,566.75,31.82,32.04,236.87,0.99,1
29.25,672.15,30.34,28.1,150.63,0.669,1
23.57,833.96,32.53,28.17,121.72,0.784,1
77.2,907.87,26.79,25.71,120.09,0.547,0
38.84,400.92,41.04,33.08,403.2,1.226,3
31.35,573.45,33.38,30.16,480.81,1.296,3
11.99,573.45,34.41,32.3,275.3,0.92,1
46.23,691.6,26.62,27.12,652.64,0.767,2
82.72,852.21,24.35,29.11,188.75,0.353,0
30.22,874.71,38.38,34.31,355.23,1.254,3
48.78,413.21,32.44,26.31,583.36,1.088,2
44.81,427.5,25.67,27.38,459.82,0.927,2
49.72,611.78,33.48,30.82,546.95,0.919,2
62.0,736.96,25.37,23.2,66.53,0.537,0
69.7,823.22,27.97,23.29,175.56,0.547,0
43.31,760.7,34.61,32.68,316.68,0.896,3
40.53,362.08,35.66,32.47,384.37,1.255,3
46.67,410.01,30.49,27.04,498.13,1.144,2
51.37,574.08,26.14,29.18,560.06,0.979,2
42.07,739.65,35.75,35.8,326.06,0.852,3
44.28,501.58,41.82,37.42,361.52,1.049,3
33.58,394.34,34.62,34.72,369.48,1.189,3
25.98,846.36,32.76,28.48,217.82,0.782,1
33.02,824.73,38.26,35.75,398.87,1.228,3
60.95,990.92,25.44,24.61,62.68,0.484,0
28.8,501.47,36.9,32.66,140.13,0.751,1
17.0,789.58,37.23,32.03,299.71,0.781,1
24.84,514.49,32.97,29.3,262.29,0.702,1
40.24,498.79,40.4,30.46,458.61,0.881,3
64.8,797.49,22.69,24.99,178.2,0.413,0
73.94,754.02,27.12,27.32,95.55,0.409,0
23.22,531.52,32.58,30.81,128.41,0.796,1
89.97,990.02,28.75,25.29,198.59,0.54,0
53.62,412.33,28.78,31.39,417.04,1.198,2
40.78,541.48,28.42,32.74,797.47,1.12,2
32.17,366.92,35.02,32.1,309.6,1.238,3
68.45,467.14,30.98,31.79,679.01,1.111,2
74.06,882.38,28.75,29.05,89.36,0.445,0
39.16,620.06,39.44,30.51,382.76,1.084,3
87.19,726.71,28.97,27.61,98.68,0.478,0
43.34,458.18,38.73,35.63,425.88,1.199,3
65.8,705.05,29.06,31.5,734.65,1.022,2
48.86,931.03,41.46,36.95,387.02,1.202,3
77.73,820.88,26.58,28.92,81.98,0.394,0
45.49,900.45,38.03,32.33,280.71,1.44,3
30.17,814.53,32.32,34.49,286.57,1.382,3
17.43,573.85,37.28,33.69,169.68,0.659,1
68.69,959.77,23.8,26.81,179.87,0.472,0
46.5,711.88,33.61,32.03,479.68,1.04,3
47.56,676.96,36.22,36.3,280.88,1.036,3
85.31,734.78,24.11,23.71,57.53,0.407,0
40.33,563.87,34.94,27.79,674.01,0.869,2
18.61,641.14,30.34,34.62,273.55,0.993,1
52.95,634.35,28.24,26.96,701.85,1.15,2
36.78,401.79,35.5,32.4,318.44,1.358,3
31.27,822.19,37.73,34.61,388.1,1.357,3
36.41,790.64,35.41,36.2,353.95,0.88,3
42.25,694.69,26.46,30.29,417.81,0.729,2
26.78,553.78,33.2,32.06,272.97,0.633,1
10.23,508.37,37.66,34.6,124.49,0.951,1
75.45,998.47,26.55,26.99,63.28,0.465,0
13.52,662.33,36.35,32.47,145.97,0.985,1
68.78,968.26,29.67,23.0,111.0,0.506,0
32.46,329.32,40.01,33.98,337.61,1.248,3
46.42,542.01,28.52,30.18,749.47,0.746,2
26.17,617.57,36.99,32.57,247.88,0.869,1
87.63,928.27,22.09,26.27,69.47,0.337,0
44.18,623.43,31.82,30.61,555.07,1.013,2
25.53,747.38,35.23,29.75,111.9,0.796,1
11.31,864.73,34.13,29.23,118.81,0.819,1
49.03,623.18,34.0,32.7,476.66,1.231,3
42.68,517.51,35.01,33.67,315.0,1.261,3
61.12,433.99,29.17,32.8,775.79,1.09,2
44.73,477.96,33.66,31.62,280.03,1.354,3
46.82,676.44,41.14,36.83,493.49,1.37,3
10.73,734.31,37.76,29.8,182.32,0.634,1
65.71,710.32,27.43,28.49,194.7,0.452,0
64.28,747.2,26.7,27.25,68.31,0.317,0
39.86,691.29,33.44,34.93,399.81,1.141,3
63.06,531.63,33.45,26.46,798.85,1.043,2
71.57,844.1,23.49,29.09,127.55,0.477,0
13.29,876.67,30.22,31.28,126.26,0.944,1
15.86,863.54,31.35,29.73,264.61,0.675,1
63.63,882.29,27.26,23.65,172.61,0.384,0
16.5,722.67,35.88,33.3,250.82,0.973,1
80.6,722.25,25.55,22.94,115.88,0.58,0
23.25,625.01,30.67,31.77,167.1,0.95,1
40.01,323.57,34.65,32.26,309.29,1.408,3
63.0,785.97,26.82,24.9,61.75,0.574,0
49.32,761.27,28.59,26.25,426.65,0.788,2
58.03,648.68,25.1,26.05,778.93,0.909,2
60.17,831.65,26.36,28.75,92.66,0.429,0
59.28,471.38,26.16,30.69,644.51,0.912,2
32.52,544.72,39.93,34.17,363.19,1.441,3
20.99,503.63,33.67,32.51,236.81,0.939,1
89.8,778.43,29.63,23.14,152.45,0.378,0
23.39,635.67,32.67,30.91,247.17,0.763,1
21.73,736.07,37.31,33.3,244.15,0.753,1
85.16,976.21,27.84,23.81,141.39,0.544,0
67.5,647.23,28.17,27.73,570.05,0.804,2
67.07,829.04,27.76,27.26,136.55,0.509,0
64.34,602.49,25.63,29.7,725.67,0.939,2
80.34,886.08,22.21,22.33,92.84,0.597,0
35.63,395.23,32.6,30.72,409.04,0.803,3
47.52,935.9,34.14,31.15,391.17,0.858,3
23.64,850.15,37.27,30.56,272.11,0.926,1
41.74,400.46,33.87,34.09,318.98,1.228,3
23.37,817.92,32.97,31.98,268.3,0.979,1
30.03,925.63,40.57,31.61,374.48,0.883,3
42.07,547.62,32.42,30.27,404.66,1.253,3
41.01,682.34,25.7,29.38,475.4,0.888,2
35.01,451.2,35.81,33.97,394.9,1.154,3
40.6,645.74,32.94,30.38,429.12,0.926,3
88.57,707.7,23.13,25.71,103.85,0.5,0
48.13,877.98,40.97,34.19,321.58,1.009,3
67.96,472.77,31.48,29.53,402.03,1.173,2
43.26,456.04,34.2,27.05,671.79,0.725,2
61.99,586.5,28.43,25.67,498.34,0.888,2
55.15,710.3,27.66,30.95,635.82,1.0,2
23.81,712.27,35.95,34.85,241.16,0.822,1
80.72,941.74,29.77,28.76,118.55,0.372,0
20.73,768.74,38.68,33.4,226.49,0.973,1
26.68,653.93,37.6,35.4,254.65,0.826,1
65.43,473.56,34.92,31.02,723.15,0.943,2
84.38,968.19,25.41,22.5,63.88,0.451,0
57.04,421.3,26.56,30.4,685.02,1.015,2
21.14,725.59,39.01,35.21,116.74,0.64,1
58.67,684.41,33.39,31.39,694.24,0.739,2
56.56,456.47,33.27,27.12,624.86,0.917,2
27.35,546.28,31.81,29.5,266.84,0.973,1
39.9,332.08,33.17,30.69,251.85,1.133,3
80.84,824.49,28.24,25.89,167.93,0.335,0
40.94,662.59,34.68,26.44,653.53,0.89,2
37.65,557.6,38.78,36.57,388.53,0.992,3
16.01,572.95,34.39,32.21,216.23,0.93,1
26.31,784.75,37.98,30.77,210.21,0.843,1
33.51,607.03,34.01,30.98,443.29,1.466,3
71.38,740.31,28.79,26.61,91.09,0.437,0
88.76,745.77,22.99,27.91,97.07,0.351,0
20.68,510.79,33.98,29.23,268.17,0.63,1
42.97,466.35,38.13,33.06,340.86,1.283,3
69.69,981.1,25.42,22.01,72.26,0.556,0
10.03,547.82,30.68,28.17,274.89,0.745,1
86.88,880.51,23.27,22.31,131.64,0.484,0
44.85,397.12,34.41,37.35,420.93,1.064,3
54.72,434.96,32.27,27.26,700.33,1.017,2
61.75,762.35,22.75,27.63,85.04,0.468,0
62.93,427.05,33.72,27.02,475.26,1.019,2
88.24,758.45,23.63,22.11,178.55,0.561,0
44.71,610.19,36.35,31.34,361.67,1.402,3
43.65,456.39,25.35,28.5,555.74,0.929,2
62.35,878.19,24.06,22.74,193.69,0.577,0
50.21,671.19,33.6,29.24,715.32,0.778,2
41.87,699.82,30.55,26.78,539.88,1.06,2
16.35,808.06,35.02,32.93,245.63,0.809,1
40.96,594.35,25.06,27.1,500.78,0.939,2
74.2,959.61,27.33,25.39,164.36,0.577,0
64.18,945.04,27.31,22.44,179.39,0.438,0
77.74,835.35,22.61,28.28,94.97,0.498,0
43.45,658.81,25.65,26.44,647.45,1.054,2
16.85,707.83,32.6,29.0,207.94,0.808,1
49.53,596.88,28.94,27.35,689.99,0.779,2
52.73,461.68,26.83,32.89,548.33,0.944,2
47.44,765.5,27.29,27.83,439.41,0.969,2
15.84,722.79,30.79,29.06,132.55,0.639,1
55.53,401.16,28.77,29.43,639.63,1.027,2
42.54,947.22,39.02,31.52,343.45,1.15,3
62.15,996.63,26.23,22.15,148.81,0.543,0
40.03,758.03,37.1,36.21,399.33,0.922,3
60.17,948.77,26.1,26.47,113.18,0.459,0
87.86,935.58,28.76,22.72,187.47,0.561,0
67.36,727.38,28.22,23.76,81.57,0.41,0
69.25,768.44,22.95,24.72,195.78,0.519,0
